RespondentId,ArticleId,ExternalId,Partisanship,Polarity,Pro-,Anti-
25828570,2982379,10775030,Weet niet / onmogelijk om te bepalen,Weet niet,,
25828570,2982619,10776409,Enigszins bevooroordeeld,Rechts,,
25828570,2984777,10774709,Bevooroordeeld,Links,,
25828570,2984811,10775020,Weet niet / onmogelijk om te bepalen,Weet niet,,
25828570,2984817,10775026,Weet niet / onmogelijk om te bepalen,Weet niet,,
25828570,2984820,10775032,Bevooroordeeld,Rechts,,
25828570,2984841,10775150,Weet niet / onmogelijk om te bepalen,Weet niet,,
25828570,2985023,10776242,Enigszins bevooroordeeld,Rechts,,
25828570,2985035,10776298,Weet niet / onmogelijk om te bepalen,Weet niet,,
25828570,2985036,10776300,Enigszins bevooroordeeld,Conservatief,,
25828570,2985128,10776704,Onbevooroordeeld,Weet niet,,
25828570,2985258,10777357,Onbevooroordeeld,Weet niet,,
25828571,2981176,10771630,Weet niet / onmogelijk om te bepalen,Weet niet,,
25828571,2981661,0,Weet niet / onmogelijk om te bepalen,Weet niet,,
25828575,2946493,10728199,Onbevooroordeeld,Niet bevooroordeeld,,
25828575,2946513,10728846,Onbevooroordeeld,Niet bevooroordeeld,,
25828575,2946514,10728879,Onbevooroordeeld,Niet bevooroordeeld,,
25828575,2946536,10729718,Onbevooroordeeld,Niet bevooroordeeld,,
25828575,2946578,10730442,Onbevooroordeeld,Niet bevooroordeeld,,
25828575,2946595,10730559,Onbevooroordeeld,Niet bevooroordeeld,,
25828575,2946598,10730562,Onbevooroordeeld,Niet bevooroordeeld,,
25828575,2946600,10730564,Onbevooroordeeld,Niet bevooroordeeld,,
25828575,2946602,10730567,Onbevooroordeeld,Niet bevooroordeeld,,
25828575,2946620,10730661,Onbevooroordeeld,Niet bevooroordeeld,,
25828575,2946621,10730662,Onbevooroordeeld,Niet bevooroordeeld,,
25828575,2946622,10730663,Onbevooroordeeld,Niet bevooroordeeld,,
25828575,2946627,10730743,Onbevooroordeeld,Niet bevooroordeeld,,
25828575,2946628,10730746,Onbevooroordeeld,Niet bevooroordeeld,,
25828575,2946629,10730747,Onbevooroordeeld,Niet bevooroordeeld,,
25828575,2946630,10730748,Onbevooroordeeld,Niet bevooroordeeld,,
25828575,2946631,10730749,Onbevooroordeeld,Niet bevooroordeeld,,
25828575,2946632,10730750,Onbevooroordeeld,Niet bevooroordeeld,,
25828575,2946641,10730806,Onbevooroordeeld,Niet bevooroordeeld,,
25828591,2985984,10777814,Weet niet / onmogelijk om te bepalen,Weet niet,Niet van toepassing.,Anti-veel en pro-niks.
25828591,2986003,10777847,Redelijk onbevooroordeeld,Weet niet,"Sinds wanneer mogen we vragen niet onbeantwoord laten? En waarom staat ""niet van toepassing"" er niet bij?",
25828599,2993636,10791653,Onbevooroordeeld,Anders,het is niet aan mij hierover positief of negatief te oordelen,
25828599,2993654,10791819,Weet niet / onmogelijk om te bepalen,Anders,ik vind het niet correct een artikel zo te laten beoordelen,
25828599,2993661,10791931,Weet niet / onmogelijk om te bepalen,Weet niet,het al dan niet laten rijden van bromscooters op de rijbaan en het dragen van een helm voor de berijders heeft zowel voors als tegens,
25828599,2993677,10793586,Redelijk onbevooroordeeld,Weet niet,,
25828603,2987555,10778906,Onbevooroordeeld,Niet bevooroordeeld,,
25828603,2987673,10780279,Onbevooroordeeld,Niet bevooroordeeld,,
25828603,2987677,10780283,Weet niet / onmogelijk om te bepalen,Weet niet,,
25828604,3005214,10801103,Onbevooroordeeld,Anders,,
25828604,3005220,10801124,Enigszins bevooroordeeld,Links,,
25828604,3005286,10802216,Bevooroordeeld,Links,,
25828611,2915586,10677266,Onbevooroordeeld,Niet bevooroordeeld,,
25828611,2915612,10677494,Onbevooroordeeld,Niet bevooroordeeld,,
25828611,2915614,10677496,Weet niet / onmogelijk om te bepalen,Niet bevooroordeeld,,
25828611,2915638,10677688,Onbevooroordeeld,Niet bevooroordeeld,,
25828611,2915644,10677711,Onbevooroordeeld,Niet bevooroordeeld,,
25828611,2915658,10678013,Onbevooroordeeld,Niet bevooroordeeld,,
25828611,2915700,10678772,Onbevooroordeeld,Niet bevooroordeeld,,
25828611,2915701,10678773,Onbevooroordeeld,Niet bevooroordeeld,,
25828633,3000608,10796543,Onbevooroordeeld,Weet niet,,
25828633,3000618,10796649,Redelijk onbevooroordeeld,Progressief,,
25828633,3000631,10797592,Onbevooroordeeld,Niet bevooroordeeld,,
25828633,3000632,10797593,Onbevooroordeeld,Niet bevooroordeeld,,
25828633,3000637,10797726,Onbevooroordeeld,Niet bevooroordeeld,,
25828633,3000657,10798634,Enigszins bevooroordeeld,Progressief,,
25828636,2945019,10723338,Onbevooroordeeld,Rechts,,
25828636,2945136,10724270,Bevooroordeeld,Progressief,,
25828636,2945391,10725909,Onbevooroordeeld,Anders,,
25828636,2945466,10726393,Onbevooroordeeld,Niet bevooroordeeld,,
25828636,2945522,10726541,Enigszins bevooroordeeld,Niet bevooroordeeld,,
25828636,2945523,10726542,Enigszins bevooroordeeld,Niet bevooroordeeld,,
25828637,3001798,10796126,Weet niet / onmogelijk om te bepalen,Niet bevooroordeeld,,
25828637,3001799,10796131,Enigszins bevooroordeeld,Progressief,,
25828637,3001800,10796132,Onbevooroordeeld,Weet niet,,
25828637,3001829,10796947,Enigszins bevooroordeeld,Rechts,,
25828637,3001902,10798672,Onbevooroordeeld,Niet bevooroordeeld,,
25828637,3001951,10799167,Weet niet / onmogelijk om te bepalen,Weet niet,,
25828637,3001953,10799169,Weet niet / onmogelijk om te bepalen,Niet bevooroordeeld,,
25828665,2963167,10749320,Redelijk onbevooroordeeld,Links,?,enigszins pro-links
25828665,2963193,10750104,Bevooroordeeld,Links,,
25828665,2963204,10750403,Onbevooroordeeld,Niet bevooroordeeld,,
25828665,2963215,10751311,Onbevooroordeeld,Niet bevooroordeeld,,
25828689,2946514,10728879,Enigszins bevooroordeeld,Progressief,,
25828689,2946536,10729718,Onbevooroordeeld,Niet bevooroordeeld,,
25828689,2946578,10730442,Onbevooroordeeld,Niet bevooroordeeld,,
25828689,2946595,10730559,Onbevooroordeeld,Niet bevooroordeeld,,
25828689,2946602,10730567,Onbevooroordeeld,Niet bevooroordeeld,,
25828689,2946620,10730661,Onbevooroordeeld,Niet bevooroordeeld,,
25828689,2946621,10730662,Onbevooroordeeld,Niet bevooroordeeld,,
25828689,2946622,10730663,Onbevooroordeeld,Niet bevooroordeeld,,
25828689,2946624,10730707,Onbevooroordeeld,Niet bevooroordeeld,,
25828689,2946625,10730708,Onbevooroordeeld,Niet bevooroordeeld,,
25828689,2946627,10730743,Onbevooroordeeld,Niet bevooroordeeld,,
25828689,2946632,10730750,Enigszins bevooroordeeld,Links,,
25828689,2946641,10730806,Onbevooroordeeld,Niet bevooroordeeld,,
25828690,2956579,10740499,Redelijk onbevooroordeeld,Progressief,,
25828690,2956803,10741844,Bevooroordeeld,Rechts,,
25828690,2956805,10741846,Bevooroordeeld,Weet niet,,
25828690,2956825,10742069,Onbevooroordeeld,Niet bevooroordeeld,,
25828690,2956827,10742073,Redelijk onbevooroordeeld,Links,,
25828690,2956828,10742075,Onbevooroordeeld,Niet bevooroordeeld,,
25828690,2956832,10742083,Enigszins bevooroordeeld,Anders,,
25828690,2956840,10742224,Redelijk onbevooroordeeld,Niet bevooroordeeld,,
25828693,2923015,10686279,Redelijk onbevooroordeeld,Niet bevooroordeeld,,
25828693,2923017,10686275,Redelijk onbevooroordeeld,Niet bevooroordeeld,,
25828693,2923022,10686276,Redelijk onbevooroordeeld,Anders;Niet bevooroordeeld,,
25828693,2923023,10686348,Redelijk onbevooroordeeld,Niet bevooroordeeld,,
25828693,2923025,0,Redelijk onbevooroordeeld,Niet bevooroordeeld,,
25828693,2923026,10685498,Redelijk onbevooroordeeld,Niet bevooroordeeld,,
25828693,2923028,10686233,Redelijk onbevooroordeeld,Niet bevooroordeeld,,
25828693,2923030,10686008,Redelijk onbevooroordeeld,Niet bevooroordeeld,,
25828693,2923031,10686009,Redelijk onbevooroordeeld,Niet bevooroordeeld,,
25828695,2871098,10591867,Redelijk onbevooroordeeld,Niet bevooroordeeld,,
25828695,2871108,10592142,Enigszins bevooroordeeld,Niet bevooroordeeld,,
25828709,2960336,10747709,Redelijk onbevooroordeeld,Weet niet,,
25828709,2960342,10748016,Onbevooroordeeld,Progressief,,
25828709,2960343,10748045,Onbevooroordeeld,Niet bevooroordeeld,,
25828713,2899631,10648739,Onbevooroordeeld,Niet bevooroordeeld,,
25828777,2995550,10791171,Redelijk onbevooroordeeld,Conservatief,,
25828777,2995816,10793680,Redelijk onbevooroordeeld,Conservatief,,
25828777,2995836,10793946,Redelijk onbevooroordeeld,Conservatief,,
25828779,2899550,10648031,Redelijk onbevooroordeeld,Weet niet,,
25828779,2899551,10648032,Weet niet / onmogelijk om te bepalen,Weet niet,,
25828779,2899621,10648630,Redelijk onbevooroordeeld,Weet niet,,
25828779,2899631,10648739,Enigszins bevooroordeeld,Weet niet,,
25828779,2899632,10648742,Redelijk onbevooroordeeld,Weet niet,,
25828779,2899633,10648745,Onbevooroordeeld,Niet bevooroordeeld,,
25828779,2899634,10648746,Redelijk onbevooroordeeld,Weet niet,,
25828779,2899643,10648856,Weet niet / onmogelijk om te bepalen,Weet niet,,
25828779,2899663,10648992,Redelijk onbevooroordeeld,Weet niet,,
25828779,2899688,10649078,Onbevooroordeeld,Weet niet,,
25828779,2899689,10649079,Weet niet / onmogelijk om te bepalen,Weet niet,,
25828779,2899690,10649080,Redelijk onbevooroordeeld,Weet niet,,
25828779,2899732,10649311,Redelijk onbevooroordeeld,Weet niet,,
25828779,2899733,10649312,Onbevooroordeeld,Weet niet,,
25828779,2899734,10649313,Weet niet / onmogelijk om te bepalen,Weet niet,,
25828779,2899845,10649684,Onbevooroordeeld,Weet niet,,
25828791,2913841,10676591,Onbevooroordeeld,Niet bevooroordeeld,,
25828791,2913883,10676879,Enigszins bevooroordeeld,Niet bevooroordeeld,,
25828791,2913922,10676970,Redelijk onbevooroordeeld,Niet bevooroordeeld,,
25828791,2914084,10678012,Redelijk onbevooroordeeld,Niet bevooroordeeld,,
25828825,2993636,10791653,Onbevooroordeeld,Niet bevooroordeeld,,
25828825,2993653,10791818,Onbevooroordeeld,Niet bevooroordeeld,,
25828825,2993654,10791819,Redelijk onbevooroordeeld,Links,"pietsje anti-kapitalistich, maar dat is prima! Onbevooroordeeld is onmogelijk en onwenselijk.",
25828825,2993655,10791820,Enigszins bevooroordeeld,Anders,,
25828825,2993661,10791931,Onbevooroordeeld,Niet bevooroordeeld,,
25828825,2993666,10793082,Enigszins bevooroordeeld,Progressief,pro klimaat -is prima,
25828825,2993667,10793083,Enigszins bevooroordeeld,Links,anti-erdogan en terecht,
25828825,2993672,10793088,Onbevooroordeeld,Niet bevooroordeeld,,
25828825,2993676,10793585,Onbevooroordeeld,Niet bevooroordeeld,,
25828825,2993677,10793586,Enigszins bevooroordeeld,Anders,pro vrouwen in het ambt en terecht!,
25828825,2993683,10793744,Enigszins bevooroordeeld,Progressief,pro klimaat,
25828827,2945738,10728188,Weet niet / onmogelijk om te bepalen,Niet bevooroordeeld,het zijn feiten nmet een achtergrond,
25828827,2946125,10730579,Redelijk onbevooroordeeld,Progressief,er zit echt een toon van de lpf in,
25828827,2949297,10728105,Onbevooroordeeld,Links;Rechts;Progressief,"Is vamn dag tot dag heel verschillend,moeilijk te zeggen limks of rechts",
25828827,2949301,10728109,Onbevooroordeeld,Niet bevooroordeeld,,
25828827,2949698,10730575,Enigszins bevooroordeeld,Rechts,echt weer iets uit het midden het is weer net geenlinks of rechts,
25828834,2974673,10760969,Extreem bevooroordeeld,Weet niet,,
25828834,2974714,10762411,Weet niet / onmogelijk om te bepalen,Niet bevooroordeeld,,
25828834,2974716,10762432,Weet niet / onmogelijk om te bepalen,Weet niet,,
25828834,2974852,10765365,Enigszins bevooroordeeld,Weet niet,,
25828834,2974853,10765367,Enigszins bevooroordeeld,Weet niet,,
25828834,2974854,10765368,Weet niet / onmogelijk om te bepalen,Niet bevooroordeeld,,
25828834,2974855,10765369,Onbevooroordeeld,Niet bevooroordeeld,,
25828834,2974856,10765370,Extreem bevooroordeeld,Links;Conservatief,,
25828834,2974865,10765426,Enigszins bevooroordeeld,Conservatief,,
25828841,2963184,10749623,Bevooroordeeld,Anders,pro journalisten. Het is wel erg geschreven vanuit het belang van de journalistiek. ,
25828862,2945853,10728862,Extreem bevooroordeeld,Links,,
25828869,2956584,10740514,Onbevooroordeeld,Niet bevooroordeeld,nvt,nvt
25828869,2956588,10740518,Onbevooroordeeld,Niet bevooroordeeld,nvt,nvt
25828869,2956600,10740614,Onbevooroordeeld,Niet bevooroordeeld,nvt,nvt
25828869,2956826,10742071,Enigszins bevooroordeeld,Conservatief,pro-conservatieven,nvt
25828876,2945019,10723338,Enigszins bevooroordeeld,Conservatief,,
25828876,2945076,10724115,Redelijk onbevooroordeeld,Conservatief,,
25828876,2945525,10726545,Redelijk onbevooroordeeld,Conservatief,,
25828878,3001798,10796126,Enigszins bevooroordeeld,Conservatief,,
25828878,3001825,10796936,Enigszins bevooroordeeld,Links;Niet bevooroordeeld,,
25828879,2973390,10766113,Onbevooroordeeld,Niet bevooroordeeld,,
25828879,2978999,10766511,Weet niet / onmogelijk om te bepalen,Weet niet,,
25828879,2979073,10766847,Onbevooroordeeld,Niet bevooroordeeld,,
25828920,2913883,10676879,Onbevooroordeeld,Weet niet,,
25828920,2913922,10676970,Onbevooroordeeld,Niet bevooroordeeld,,
25828920,2914086,10678022,Onbevooroordeeld,Weet niet,,
25828934,2974186,10761960,Onbevooroordeeld,Niet bevooroordeeld,,
25828934,2974213,10762401,Weet niet / onmogelijk om te bepalen,Weet niet,,
25828934,2974215,10762768,Onbevooroordeeld,Niet bevooroordeeld,,
25828934,2974216,10762769,Onbevooroordeeld,Niet bevooroordeeld,,
25828934,2974234,10762989,Onbevooroordeeld,Niet bevooroordeeld,,
25828934,2974239,10762994,Onbevooroordeeld,Niet bevooroordeeld,,
25828934,2974251,10763150,Onbevooroordeeld,Niet bevooroordeeld,,
25828934,2974252,10763151,Onbevooroordeeld,Niet bevooroordeeld,,
25828942,3001823,10796934,Onbevooroordeeld,Niet bevooroordeeld,,
25828942,3001902,10798672,Onbevooroordeeld,Niet bevooroordeeld,,
25828942,3001904,10798688,Onbevooroordeeld,Niet bevooroordeeld,,
25828942,3001946,10799160,Onbevooroordeeld,Niet bevooroordeeld,,
25828942,3001948,10799163,Onbevooroordeeld,Niet bevooroordeeld,,
25828942,3001949,10799164,Onbevooroordeeld,Niet bevooroordeeld,,
25828942,3001950,10799166,Onbevooroordeeld,Niet bevooroordeeld,,
25828942,3001951,10799167,Onbevooroordeeld,Niet bevooroordeeld,,
25828942,3001953,10799169,Onbevooroordeeld,Niet bevooroordeeld,,
25828942,3001955,10799171,Onbevooroordeeld,Niet bevooroordeeld,,
25828950,2913883,10676879,Enigszins bevooroordeeld,Anders,,
25828950,2913886,10676888,Onbevooroordeeld,Niet bevooroordeeld,,
25828950,2913922,10676970,Onbevooroordeeld,Niet bevooroordeeld,,
25828950,2914084,10678012,Onbevooroordeeld,Niet bevooroordeeld,,
25828950,2914086,10678022,Redelijk onbevooroordeeld,Links,,
25828985,2960307,10746369,Onbevooroordeeld,Anders,,
25828985,2960342,10748016,Redelijk onbevooroordeeld,Weet niet,,
25828985,2960343,10748045,Onbevooroordeeld,Anders,,
25828988,2912560,10674293,Onbevooroordeeld,Niet bevooroordeeld,,
25828990,2974182,10761952,Enigszins bevooroordeeld,Progressief,voor klimaat bedreiging,
25828990,2974187,10761961,Redelijk onbevooroordeeld,Anders,,
25828990,2974252,10763151,Onbevooroordeeld,Niet bevooroordeeld,,
25828992,3006494,10803045,Onbevooroordeeld,Niet bevooroordeeld,,
25828992,3006496,10803048,Onbevooroordeeld,Niet bevooroordeeld,,
25828992,3006519,10803258,Onbevooroordeeld,Niet bevooroordeeld,,
25828998,2953901,10740965,Onbevooroordeeld,Niet bevooroordeeld,,
25828998,2954101,10742191,Onbevooroordeeld,Niet bevooroordeeld,,
25829019,2899618,10648627,Onbevooroordeeld,Niet bevooroordeeld,,
25829019,2899633,10648745,Onbevooroordeeld,Niet bevooroordeeld,,
25829019,2899634,10648746,Onbevooroordeeld,Niet bevooroordeeld,,
25829019,2899635,10648747,Onbevooroordeeld,Niet bevooroordeeld,,
25829019,2899644,10648857,Onbevooroordeeld,Niet bevooroordeeld,,
25829019,2899662,10648985,Onbevooroordeeld,Niet bevooroordeeld,,
25829019,2899663,10648992,Onbevooroordeeld,Niet bevooroordeeld,,
25829019,2899688,10649078,Onbevooroordeeld,Niet bevooroordeeld,,
25829019,2899694,10649084,Onbevooroordeeld,Niet bevooroordeeld,,
25829019,2899733,10649312,Onbevooroordeeld,Niet bevooroordeeld,,
25829019,2899734,10649313,Onbevooroordeeld,Niet bevooroordeeld,,
25829032,2995816,10793680,Weet niet / onmogelijk om te bepalen,Weet niet,,
25829032,2995822,10793687,Onbevooroordeeld,Weet niet,,
25829035,2961729,10745657,Onbevooroordeeld,Conservatief,,
25829035,2961756,10746704,Bevooroordeeld,Conservatief,,
25829035,2961757,10746705,Onbevooroordeeld,Conservatief,,
25829035,2961803,10747314,Onbevooroordeeld,Niet bevooroordeeld,,
25829035,2961818,10747990,Redelijk onbevooroordeeld,Conservatief,,
25829035,2961822,10747996,Extreem bevooroordeeld,Conservatief,,
25829035,2961823,10747997,Onbevooroordeeld,Niet bevooroordeeld,,
25829057,2919197,10686200,Onbevooroordeeld,Progressief,,
25829057,2919201,10686219,Onbevooroordeeld,Progressief,,
25829057,2919216,10686865,Onbevooroordeeld,Progressief,,
25829057,2919218,10686867,Redelijk onbevooroordeeld,Progressief,,
25829060,2962774,10750666,Enigszins bevooroordeeld,Links,,
25829060,2965991,10749893,Enigszins bevooroordeeld,Links;Progressief,,
25829060,2965996,10749898,Redelijk onbevooroordeeld,Anders,,
25829060,2965997,10749900,Onbevooroordeeld,Conservatief,,
25829060,2965998,10749901,Weet niet / onmogelijk om te bepalen,Anders,,
25829060,2966123,10750588,Extreem bevooroordeeld,Links,,
25829069,2978903,10766053,Enigszins bevooroordeeld,Rechts,,
25829069,2978904,10766054,Onbevooroordeeld,Niet bevooroordeeld,,
25829069,2978916,10766113,Redelijk onbevooroordeeld,Niet bevooroordeeld,,
25829069,2978918,10766115,Enigszins bevooroordeeld,Progressief,Vrouwen op hogere posities eindelijk!!,
25829069,2978929,10766160,Enigszins bevooroordeeld,Progressief,,
25829069,2978999,10766511,Redelijk onbevooroordeeld,Niet bevooroordeeld,,
25829069,2979073,10766847,Onbevooroordeeld,Niet bevooroordeeld,,
25829069,2979382,10768708,Onbevooroordeeld,Niet bevooroordeeld,,
25829072,2964000,10749020,Onbevooroordeeld,Weet niet,,
25829072,2964002,10749022,Onbevooroordeeld,Weet niet,,
25829072,2964046,10750171,Bevooroordeeld,Rechts,,
25829072,2964048,10750447,Onbevooroordeeld,Anders,,
25829072,2964053,10750589,Extreem bevooroordeeld,Conservatief,,
25829072,2964060,10751012,Weet niet / onmogelijk om te bepalen,Weet niet,,
25829072,2964121,10751986,Enigszins bevooroordeeld,Progressief;Weet niet,,
25829072,2964123,10751988,Weet niet / onmogelijk om te bepalen,Weet niet,,
25829072,2964124,10751989,Enigszins bevooroordeeld,Rechts,,
25829072,2964125,10751990,Onbevooroordeeld,Weet niet,,
25829072,2964129,10751994,Redelijk onbevooroordeeld,Progressief,paarde bezitter,
25829087,3005206,10800994,Onbevooroordeeld,Niet bevooroordeeld,geen,
25829087,3005215,10801117,Onbevooroordeeld,Weet niet,onpartijdig,geen
25829087,3005243,10801537,Onbevooroordeeld,Niet bevooroordeeld,,
25829102,2986242,10779756,Redelijk onbevooroordeeld,Niet bevooroordeeld,,
25829102,2986255,10780087,Onbevooroordeeld,Niet bevooroordeeld,,
25829102,2986267,10780466,Redelijk onbevooroordeeld,Weet niet,,
25829102,2986271,10780699,Redelijk onbevooroordeeld,Niet bevooroordeeld,,
25829122,2956805,10741846,Bevooroordeeld,Conservatief,,
25829122,2956825,10742069,Enigszins bevooroordeeld,Conservatief,,
25829122,2956826,10742071,Redelijk onbevooroordeeld,Conservatief,,
25829122,2956828,10742075,Enigszins bevooroordeeld,Conservatief,,
25829122,2956829,10742076,Enigszins bevooroordeeld,Weet niet,,
25829122,2956840,10742224,Bevooroordeeld,Conservatief,,
25829143,2960229,10744417,Onbevooroordeeld,Niet bevooroordeeld,,
25829143,2960264,10744619,Onbevooroordeeld,Niet bevooroordeeld,,
25829143,2960265,10744630,Onbevooroordeeld,Niet bevooroordeeld,,
25829143,2960268,10744652,Redelijk onbevooroordeeld,Niet bevooroordeeld,,
25829143,2960269,10744653,Onbevooroordeeld,Niet bevooroordeeld,,
25829143,2960272,10744692,Onbevooroordeeld,Niet bevooroordeeld,,
25829143,2960273,10744693,Onbevooroordeeld,Niet bevooroordeeld,,
25829151,2956579,10740499,Weet niet / onmogelijk om te bepalen,Niet bevooroordeeld,,
25829151,2956580,10740500,Weet niet / onmogelijk om te bepalen,Niet bevooroordeeld,,
25829151,2956587,10740517,Weet niet / onmogelijk om te bepalen,Weet niet,,
25829151,2956600,10740614,Weet niet / onmogelijk om te bepalen,Weet niet,,
25829151,2956805,10741846,Enigszins bevooroordeeld,Links,,
25829151,2956832,10742083,Enigszins bevooroordeeld,Weet niet,,
25829151,2956833,10742084,Weet niet / onmogelijk om te bepalen,Niet bevooroordeeld,,
25829151,2956840,10742224,Enigszins bevooroordeeld,Weet niet,,
25829163,3005215,10801117,Enigszins bevooroordeeld,Anders,,anti-gemeentebeleid
25829163,3005274,10801901,Onbevooroordeeld,Niet bevooroordeeld,,
25829163,3005283,10802034,Onbevooroordeeld,Weet niet,,
25829163,3005286,10802216,Enigszins bevooroordeeld,Weet niet,,
25829170,2961339,10746189,Onbevooroordeeld,Niet bevooroordeeld,,
25829170,2961371,10746776,Onbevooroordeeld,Niet bevooroordeeld,,
25829170,2961374,10746780,Weet niet / onmogelijk om te bepalen,Weet niet,,
25829170,2961399,10747102,Redelijk onbevooroordeeld,Progressief,,
25829183,3003808,10800739,Weet niet / onmogelijk om te bepalen,Weet niet,,
25829183,3003838,10801594,Onbevooroordeeld,Niet bevooroordeeld,,
25829183,3003839,10801595,Onbevooroordeeld,Niet bevooroordeeld,,
25829183,3003848,10802105,Onbevooroordeeld,Niet bevooroordeeld,,
25829185,2912496,10672770,Onbevooroordeeld,Niet bevooroordeeld,,
25829185,2912498,10672772,Weet niet / onmogelijk om te bepalen,Weet niet,,
25829185,2912499,10672773,Weet niet / onmogelijk om te bepalen,Weet niet,,
25829185,2912537,10673483,Onbevooroordeeld,Niet bevooroordeeld,,
25829185,2912560,10674293,Onbevooroordeeld,Niet bevooroordeeld,,
25829185,2913566,10673427,Onbevooroordeeld,Niet bevooroordeeld,,
25829187,2956584,10740514,Onbevooroordeeld,Conservatief,,
25829187,2956588,10740518,Onbevooroordeeld,Progressief;Conservatief,,
25829187,2956590,10740520,Onbevooroordeeld,Anders,,
25829187,2956805,10741846,Onbevooroordeeld,Conservatief,,
