RespondentId,Gender,Political_standpoint,Vote_for_party
25866914,M,(Gematigd) links,Weet ik (nog) niet
25849407,M,Midden,PvdA
25847976,M,(Gematigd) links,GroenLinks
25828706,F,(Gematigd) links,GroenLinks
25847632,M,(Gematigd) links,GroenLinks
25864981,M,(Gematigd) links,PvdA
25839365,M,(Gematigd) links,GroenLinks
25853161,F,(Gematigd) links,GroenLinks
25862155,M,(Gematigd) links,PvdA
25844269,M,(Gematigd) links,PvdA
25831943,M,Midden,D66
25860047,F,(Gematigd) links,Weet ik (nog) niet
25868038,M,(Gematigd) links,PvdA
25861766,M,(Gematigd) links,PvdA
25866524,F,(Gematigd) links,Weet ik (nog) niet
25865431,M,(Gematigd) rechts,VVD
25847440,F,(Gematigd) links,Weet ik (nog) niet
25864758,F,Midden,CDA
25860792,M,(Gematigd) links,PvdA
25832461,F,(Gematigd) links,Weet ik (nog) niet
25843921,M,(Gematigd) links,Piratenpartij
25841192,F,(Gematigd) links,D66
25856507,M,(Gematigd) links,GroenLinks
25848671,F,(Gematigd) links,D66
25850680,M,(Gematigd) links,Weet ik (nog) niet
25838893,F,(Gematigd) links,Partij voor de Dieren
25857264,M,(Gematigd) links,Weet ik (nog) niet
25844545,M,Midden,PvdA
25836670,M,Midden,D66
25831399,M,(Gematigd) links,PvdA
25854343,F,(Gematigd) links,GroenLinks
25829239,F,Midden,Weet ik (nog) niet
25850116,M,Midden,SP
25839105,M,(Gematigd) links,PvdA
25829436,F,(Gematigd) links,GroenLinks
25830899,F,Midden,VVD
25847670,M,(Gematigd) rechts,CDA
25862593,M,Midden,Weet ik (nog) niet
25843799,M,Midden,D66
25856769,F,Midden,D66
25851111,M,(Gematigd) links,PvdA
25844886,M,Midden,PvdA
25835447,M,(Gematigd) rechts,VVD
25829558,F,(Gematigd) links,Weet ik (nog) niet
25834835,M,(Gematigd) links,Partij voor de Dieren
25843856,M,(Gematigd) links,Weet ik (nog) niet
25856698,M,(Gematigd) links,PvdA
25860670,M,Midden,CDA
25829618,M,Midden,PvdA
25866809,M,(Gematigd) links,GroenLinks
25841984,F,(Gematigd) links,GroenLinks
25852369,F,Midden,Weet ik (nog) niet
25844091,F,(Gematigd) links,GroenLinks
25846387,M,Midden,PvdA
25852815,M,(Gematigd) links,PvdA
25867643,M,Midden,ChristenUnie
25848625,M,Midden,Weet ik (nog) niet
25860022,M,(Gematigd) links,GroenLinks
25840353,M,Midden,CDA
25860435,F,Midden,Wil ik niet zeggen
25853259,M,(Gematigd) links,GroenLinks
25857023,F,(Gematigd) links,PvdA
25851623,F,(Gematigd) links,GroenLinks
25835783,M,(Gematigd) links,PvdA
25830431,F,(Gematigd) links,Weet ik (nog) niet
25855882,M,(Gematigd) links,PvdA
25830469,M,(Gematigd) links,PvdA
25830767,M,Midden,D66
25843101,M,(Gematigd) links,Weet ik (nog) niet
25836048,M,(Gematigd) links,Wil ik niet zeggen
25828695,M,(Gematigd) links,PvdA
25847882,M,(Gematigd) links,PvdA
25865726,M,(Gematigd) links,PvdA
25833733,M,(Gematigd) links,GroenLinks
25832841,M,(Gematigd) links,GroenLinks
25868145,M,(Gematigd) rechts,Weet ik (nog) niet
25831330,F,Midden,Weet ik (nog) niet
25854583,F,(Gematigd) links,GroenLinks
25861478,M,(Gematigd) links,D66
25831554,F,(Gematigd) links,GroenLinks
25850541,F,(Gematigd) links,PvdA
25868892,M,(Gematigd) links,Partij voor de Dieren
25829686,M,(Gematigd) links,PvdA
25863070,M,(Gematigd) links,PvdA
25853272,F,(Gematigd) links,PvdA
25858243,F,Midden,VVD
25850411,M,(Gematigd) links,PvdA
25837335,M,(Gematigd) links,D66
25861810,M,Midden,CDA
25829825,M,(Gematigd) links,Weet ik (nog) niet
25840526,M,(Gematigd) links,PvdA
25838613,M,(Gematigd) links,PvdA
25859204,M,(Gematigd) links,PvdA
25865599,M,Midden,Weet ik (nog) niet
25833807,M,(Gematigd) links,"Andere partij, namelijk:"
25867968,F,(Gematigd) links,Weet ik (nog) niet
25833149,M,(Gematigd) rechts,PVV
25857037,F,(Gematigd) links,GroenLinks
25840441,M,(Gematigd) links,GroenLinks
25846084,M,Midden,CDA
25856386,F,(Gematigd) links,PvdA
25858609,F,(Gematigd) links,Weet ik (nog) niet
25863228,M,(Gematigd) links,PvdA
25856083,M,(Gematigd) rechts,ChristenUnie
25847836,M,(Gematigd) links,GroenLinks
25837338,M,Midden,Weet ik (nog) niet
25853509,M,(Gematigd) rechts,Weet ik (nog) niet
25848077,M,(Gematigd) links,50 Plus
25854980,M,(Gematigd) links,PvdA
25842735,F,Midden,Weet ik (nog) niet
25861851,F,(Gematigd) links,Weet ik (nog) niet
25861226,M,(Gematigd) rechts,50 Plus
25851783,M,(Gematigd) rechts,VVD
25864016,M,Midden,Weet ik (nog) niet
25837033,M,(Gematigd) links,Weet ik (nog) niet
25858541,M,Midden,Weet ik (nog) niet
25838052,M,Midden,VVD
25868141,F,Midden,Wil ik niet zeggen
25864039,F,(Gematigd) links,PvdA
25862541,F,Midden,Weet ik (nog) niet
25857396,M,(Gematigd) rechts,Weet ik (nog) niet
25860596,F,(Gematigd) links,Weet ik (nog) niet
25837367,M,(Gematigd) links,D66
25852383,M,Midden,VVD
25861755,M,(Gematigd) rechts,VVD
25832182,M,(Gematigd) links,GroenLinks
25843418,M,Midden,CDA
25837448,M,(Gematigd) rechts,PVV
25830168,M,Midden,CDA
25831904,M,(Gematigd) links,PvdA
25850008,M,Midden,50 Plus
25838083,M,(Gematigd) links,SP
25834028,M,Midden,Weet ik (nog) niet
25848319,M,(Gematigd) links,D66
25867827,M,Midden,50 Plus
25834199,M,Midden,Weet ik (nog) niet
25850408,M,Midden,Weet ik (nog) niet
25840161,M,Midden,CDA
25860786,M,(Gematigd) links,Weet ik (nog) niet
25831029,M,(Gematigd) rechts,ChristenUnie
25836576,M,Midden,50 Plus
25833346,M,(Gematigd) links,"Andere partij, namelijk:"
25857944,M,Midden,CDA
25845600,F,Midden,VVD
25858214,M,Midden,50 Plus
25849144,M,(Gematigd) links,SP
25862537,M,Midden,CDA
25838552,M,Midden,VVD
25856112,M,(Gematigd) links,PvdA
25841410,M,(Gematigd) rechts,Forum voor Democratie
25856381,M,(Gematigd) links,GroenLinks
25850538,M,(Gematigd) rechts,"Andere partij, namelijk:"
25867812,M,Midden,Weet ik (nog) niet
25861835,M,Midden,ChristenUnie
25835127,F,Midden,Wil ik niet zeggen
25858320,M,Midden,CDA
25868264,M,Midden,Weet ik (nog) niet
25844342,F,Midden,PvdA
25867050,F,Midden,CDA
25863750,M,(Gematigd) links,SP
25868675,M,(Gematigd) rechts,Forum voor Democratie
25833398,M,Midden,Partij voor de Dieren
25843152,M,(Gematigd) rechts,VVD
25856733,M,Midden,CDA
25835967,F,(Gematigd) rechts,Forum voor Democratie
25854908,M,(Gematigd) links,SP
25862050,F,(Gematigd) links,GroenLinks
25856718,F,(Gematigd) links,Weet ik (nog) niet
25865983,F,Midden,Wil ik niet zeggen
25868119,M,Midden,Weet ik (nog) niet
25863600,F,(Gematigd) links,Weet ik (nog) niet
25855799,M,(Gematigd) links,PvdA
25866920,M,Midden,Weet ik (nog) niet
25834108,M,(Gematigd) links,ChristenUnie
25833485,M,Midden,50 Plus
25852895,M,(Gematigd) links,GroenLinks
25852774,M,(Gematigd) links,D66
25857301,M,(Gematigd) links,PvdA
25837947,M,(Gematigd) links,Wil ik niet zeggen
25830177,M,(Gematigd) rechts,CDA
25834457,M,(Gematigd) rechts,Weet ik (nog) niet
25856880,M,Midden,50 Plus
25868552,F,Midden,Weet ik (nog) niet
25851272,M,(Gematigd) rechts,ChristenUnie
25854291,M,(Gematigd) rechts,ChristenUnie
25840683,M,Midden,Weet ik (nog) niet
25846161,M,Midden,VVD
25862598,M,(Gematigd) links,GroenLinks
25851182,M,Midden,ChristenUnie
25847617,M,(Gematigd) rechts,Forum voor Democratie
25845634,M,(Gematigd) links,PvdA
25833499,M,Midden,Weet ik (nog) niet
25829977,M,(Gematigd) rechts,Forum voor Democratie
25834172,M,(Gematigd) links,PvdA
25829134,M,Midden,CDA
25843833,F,Midden,Weet ik (nog) niet
25860454,M,Midden,Blanco / ongeldig
25865737,M,(Gematigd) links,PvdA
25848970,M,(Gematigd) links,Weet ik (nog) niet
25863441,F,(Gematigd) links,PvdA
25851368,M,(Gematigd) rechts,VVD
25829019,M,Midden,SP
25839048,F,Midden,VVD
25837289,M,(Gematigd) links,CDA
25856179,M,(Gematigd) rechts,Forum voor Democratie
25829914,M,(Gematigd) rechts,VVD
25867119,F,(Gematigd) links,GroenLinks
25828779,M,Midden,Weet ik (nog) niet
25830523,M,Midden,Weet ik (nog) niet
25850618,F,Midden,Weet ik (nog) niet
25864473,M,Midden,D66
25835375,F,Midden,PvdA
25854181,M,(Gematigd) links,Weet ik (nog) niet
25848989,M,(Gematigd) links,GroenLinks
25832517,M,Midden,Weet ik (nog) niet
25849356,M,Midden,PvdA
25852202,F,(Gematigd) links,GroenLinks
25850727,M,Midden,Weet ik (nog) niet
25843913,M,(Gematigd) links,PvdA
25830072,M,Midden,Weet ik (nog) niet
25867167,F,Midden,GroenLinks
25838090,M,(Gematigd) rechts,Weet ik (nog) niet
25840465,M,Midden,50 Plus
25831402,F,Midden,D66
25868045,M,Midden,Weet ik (nog) niet
25865393,M,Midden,Weet ik (nog) niet
25833889,M,(Gematigd) links,50 Plus
25853048,M,Midden,Weet ik (nog) niet
25857345,M,(Gematigd) links,D66
25866963,M,Midden,Weet ik (nog) niet
25856307,M,(Gematigd) links,Partij voor de Dieren
25858129,F,(Gematigd) links,GroenLinks
25848452,M,(Gematigd) rechts,VVD
25851801,M,(Gematigd) links,GroenLinks
25836052,M,(Gematigd) links,PvdA
25835263,M,(Gematigd) links,D66
25830992,F,Midden,Blanco / ongeldig
25843936,F,Midden,D66
25857703,F,(Gematigd) rechts,Weet ik (nog) niet
25848639,M,Midden,Weet ik (nog) niet
25863547,F,(Gematigd) links,GroenLinks
25828479,M,Midden,Partij voor de Dieren
25855530,F,Midden,ChristenUnie
25832954,M,Midden,VVD
25864996,F,(Gematigd) rechts,CDA
25831614,M,(Gematigd) rechts,D66
25861183,M,(Gematigd) links,PvdA
25838990,M,(Gematigd) links,GroenLinks
25844495,F,(Gematigd) links,GroenLinks
25830839,M,(Gematigd) rechts,VVD
25831639,F,Midden,VVD
25861419,F,(Gematigd) links,GroenLinks
25862028,M,(Gematigd) links,SP
25858871,M,(Gematigd) rechts,Weet ik (nog) niet
25833001,M,Midden,Weet ik (nog) niet
25854571,M,(Gematigd) links,Blanco / ongeldig
25831841,M,(Gematigd) rechts,SP
25845213,M,Extreemlinks,Weet ik (nog) niet
25830073,M,(Gematigd) links,Weet ik (nog) niet
25864023,M,(Gematigd) links,D66
25834734,M,(Gematigd) links,PvdA
25852764,M,(Gematigd) links,Partij voor de Dieren
25847701,M,(Gematigd) rechts,PvdA
25866843,M,(Gematigd) links,D66
25851001,M,Midden,Weet ik (nog) niet
25852701,F,(Gematigd) rechts,ChristenUnie
25849214,M,(Gematigd) rechts,CDA
25830436,M,(Gematigd) rechts,Partij voor de Dieren
25832585,F,Midden,Weet ik (nog) niet
25863891,M,Extreemlinks,Partij voor de Dieren
25865241,F,Midden,Weet ik (nog) niet
25847780,M,(Gematigd) rechts,Blanco / ongeldig
25868501,M,(Gematigd) links,PvdA
25830924,M,Midden,CDA
25864769,F,Extreemlinks,SP
25832941,M,(Gematigd) rechts,VVD
25834513,M,Midden,CDA
25862014,M,(Gematigd) links,Weet ik (nog) niet
25835903,M,Midden,ChristenUnie
25868549,M,(Gematigd) links,50 Plus
25833737,F,Midden,Weet ik (nog) niet
25833376,F,Midden,PvdA
25863122,M,(Gematigd) rechts,ChristenUnie
25841305,M,Midden,Wil ik niet zeggen
25853808,M,(Gematigd) links,GroenLinks
25847317,M,Midden,ChristenUnie
25841134,F,Midden,Weet ik (nog) niet
25841725,M,(Gematigd) links,GroenLinks
25853187,F,(Gematigd) links,GroenLinks
25859762,M,(Gematigd) links,GroenLinks
25849544,M,Midden,"Andere partij, namelijk:"
25857050,M,Midden,D66
25850005,M,Midden,CDA
25856472,F,(Gematigd) links,GroenLinks
25838028,M,(Gematigd) links,Partij voor de Dieren
25833697,F,(Gematigd) links,Partij voor de Dieren
25839641,F,Midden,GroenLinks
25846796,M,(Gematigd) links,PvdA
25842922,M,(Gematigd) links,D66
25834653,M,(Gematigd) links,SP
25862714,M,Midden,CDA
25864749,F,(Gematigd) links,D66
25843682,M,(Gematigd) links,GroenLinks
25868116,F,Midden,ChristenUnie
25832567,M,(Gematigd) links,ChristenUnie
25837489,M,(Gematigd) links,PvdA
25834422,F,(Gematigd) links,PvdA
25845613,F,Midden,GroenLinks
25852719,M,Midden,CDA
25861581,M,(Gematigd) links,GroenLinks
25833265,M,(Gematigd) links,CDA
25835280,M,(Gematigd) links,GroenLinks
25856037,M,(Gematigd) links,GroenLinks
25845487,M,(Gematigd) links,PvdA
25829472,M,Midden,CDA
25837847,M,(Gematigd) rechts,Weet ik (nog) niet
25855121,M,Midden,Wil ik niet zeggen
25866728,M,(Gematigd) links,GroenLinks
25845312,M,(Gematigd) links,GroenLinks
25857908,F,Midden,Wil ik niet zeggen
25830222,M,Midden,ChristenUnie
25858088,M,(Gematigd) links,50 Plus
25850181,F,(Gematigd) links,CDA
25851877,M,(Gematigd) links,GroenLinks
25830183,F,Midden,CDA
25839842,F,(Gematigd) links,Partij voor de Dieren
25837918,F,(Gematigd) links,GroenLinks
25830754,M,(Gematigd) links,D66
25845248,M,(Gematigd) links,PvdA
25848130,F,(Gematigd) links,GroenLinks
25849827,M,(Gematigd) links,GroenLinks
25853346,F,(Gematigd) links,ChristenUnie
25842616,M,(Gematigd) links,GroenLinks
25865505,M,(Gematigd) links,SP
25866796,M,(Gematigd) links,GroenLinks
25861954,M,(Gematigd) links,PvdA
25846055,F,(Gematigd) rechts,VVD
25847622,M,(Gematigd) links,D66
25864688,M,(Gematigd) links,ChristenUnie
25859985,F,Midden,ChristenUnie
25846095,F,(Gematigd) links,ChristenUnie
25850953,M,(Gematigd) links,D66
25829840,F,Midden,ChristenUnie
25842706,M,Midden,Wil ik niet zeggen
25857972,M,(Gematigd) rechts,CDA
25841721,M,(Gematigd) links,GroenLinks
25866270,M,Midden,ChristenUnie
25855692,M,Midden,CDA
25866414,M,(Gematigd) rechts,CDA
25837526,M,(Gematigd) links,GroenLinks
25862019,F,(Gematigd) links,Weet ik (nog) niet
25862311,F,(Gematigd) links,PvdA
25860316,M,(Gematigd) links,GroenLinks
25847212,M,(Gematigd) links,ChristenUnie
25850831,F,(Gematigd) links,GroenLinks
25851919,M,Midden,CDA
25833036,M,(Gematigd) links,GroenLinks
25856410,M,(Gematigd) links,Wil ik niet zeggen
25845430,M,(Gematigd) links,GroenLinks
25848689,M,(Gematigd) links,SP
25860828,M,Midden,50 Plus
25841630,M,(Gematigd) links,GroenLinks
25836073,M,(Gematigd) links,PvdA
25863878,M,(Gematigd) links,PvdA
25846370,M,Midden,CDA
25856071,M,(Gematigd) links,PvdA
25846148,F,(Gematigd) links,GroenLinks
25856079,M,(Gematigd) links,PvdA
25851540,M,(Gematigd) rechts,Forum voor Democratie
25860482,M,Midden,PvdA
25842410,M,Midden,D66
25854197,M,(Gematigd) links,Weet ik (nog) niet
25846183,F,(Gematigd) links,PvdA
25841164,F,(Gematigd) links,Partij voor de Dieren
25858055,M,Midden,Weet ik (nog) niet
25867468,M,(Gematigd) links,GroenLinks
25868407,M,(Gematigd) links,PvdA
25860187,M,(Gematigd) links,GroenLinks
25848315,M,(Gematigd) links,PvdA
25835331,M,(Gematigd) rechts,Forum voor Democratie
25854849,F,Midden,CDA
25844385,M,(Gematigd) links,50 Plus
25845676,M,(Gematigd) links,PvdA
25838581,F,Midden,VVD
25832296,M,(Gematigd) links,PvdA
25863996,M,(Gematigd) links,Forum voor Democratie
25855446,F,Midden,Weet ik (nog) niet
25853674,M,Midden,CDA
25856333,M,(Gematigd) rechts,Weet ik (nog) niet
25847590,M,Midden,Forum voor Democratie
25842231,F,(Gematigd) links,Weet ik (nog) niet
25855190,F,(Gematigd) links,GroenLinks
25861001,M,Midden,Wil ik niet zeggen
25867095,M,Midden,Wil ik niet zeggen
25831185,F,(Gematigd) links,Weet ik (nog) niet
25852415,M,Midden,CDA
25868717,M,Midden,CDA
25845739,F,(Gematigd) links,GroenLinks
25848176,M,Midden,"Andere partij, namelijk:"
25832026,M,(Gematigd) links,GroenLinks
25831371,M,Midden,Weet ik (nog) niet
25868876,F,(Gematigd) rechts,Weet ik (nog) niet
25856771,M,(Gematigd) links,SP
25862915,M,(Gematigd) links,GroenLinks
25861305,M,(Gematigd) links,GroenLinks
25829376,M,(Gematigd) rechts,VVD
25865781,M,(Gematigd) links,SP
25839810,F,(Gematigd) links,PvdA
25864008,M,(Gematigd) links,D66
25845158,F,Midden,Partij voor de Dieren
25842767,M,Midden,"Andere partij, namelijk:"
25865758,M,(Gematigd) links,GroenLinks
25845031,F,Midden,VVD
25867079,M,(Gematigd) links,D66
25859767,M,(Gematigd) rechts,VVD
25833544,M,(Gematigd) rechts,D66
25829310,M,(Gematigd) links,GroenLinks
25829185,F,Midden,CDA
25863603,M,(Gematigd) rechts,VVD
25848926,M,Midden,Forum voor Democratie
25838092,M,Extreemlinks,PVV
25857850,M,Midden,PvdA
25849134,M,Midden,D66
25847119,M,(Gematigd) links,SP
25836104,M,Midden,Wil ik niet zeggen
25856565,M,(Gematigd) links,SP
25841883,M,(Gematigd) links,Weet ik (nog) niet
25835829,M,Midden,50 Plus
25849276,M,(Gematigd) rechts,VVD
25853445,M,Midden,50 Plus
25849771,M,(Gematigd) links,GroenLinks
25860321,M,(Gematigd) rechts,VVD
25837543,M,(Gematigd) rechts,VVD
25846355,M,(Gematigd) links,GroenLinks
25837014,M,Midden,CDA
25843379,M,(Gematigd) links,Weet ik (nog) niet
25862283,M,Midden,Weet ik (nog) niet
25829664,M,(Gematigd) links,Weet ik (nog) niet
25868152,M,Midden,D66
25852211,M,(Gematigd) links,GroenLinks
25848400,F,Midden,VVD
25856217,M,Midden,Weet ik (nog) niet
25838390,M,Extreemlinks,GroenLinks
25838610,M,(Gematigd) rechts,VVD
25860563,M,(Gematigd) links,GroenLinks
25840338,F,Midden,Weet ik (nog) niet
25858319,M,Midden,50 Plus
25856177,M,Midden,CDA
25858670,F,(Gematigd) links,GroenLinks
25866486,F,Midden,VVD
25836948,M,(Gematigd) links,PvdA
25853375,M,(Gematigd) links,Wil ik niet zeggen
25835615,F,(Gematigd) links,Partij voor de Dieren
25862473,F,Midden,Weet ik (nog) niet
25829752,F,(Gematigd) links,GroenLinks
25835272,M,Midden,Weet ik (nog) niet
25834158,F,Midden,CDA
25834402,M,(Gematigd) links,PvdA
25855894,F,Midden,CDA
25836634,F,(Gematigd) links,GroenLinks
25852981,M,Midden,PvdA
25853189,M,(Gematigd) links,Weet ik (nog) niet
25863487,F,(Gematigd) links,GroenLinks
25857234,M,(Gematigd) links,GroenLinks
25856834,M,(Gematigd) rechts,Forum voor Democratie
25841395,M,Midden,ChristenUnie
25829756,M,(Gematigd) rechts,Weet ik (nog) niet
25828988,F,(Gematigd) links,SP
25837138,M,(Gematigd) links,Weet ik (nog) niet
25855422,M,(Gematigd) links,GroenLinks
25832004,F,(Gematigd) links,Weet ik (nog) niet
25857381,F,(Gematigd) links,PvdA
25832154,M,(Gematigd) links,D66
25841010,M,(Gematigd) links,Partij voor de Dieren
25852416,M,(Gematigd) links,GroenLinks
25839868,F,Midden,Wil ik niet zeggen
25842583,M,Midden,Weet ik (nog) niet
25868234,M,(Gematigd) links,PvdA
25849437,M,(Gematigd) rechts,CDA
25835608,M,Midden,CDA
25832627,M,(Gematigd) links,GroenLinks
25836690,M,(Gematigd) links,D66
25842772,M,Midden,VVD
25864870,M,(Gematigd) links,PvdA
25856673,M,(Gematigd) links,SP
25828489,F,(Gematigd) links,GroenLinks
25834916,M,(Gematigd) links,PvdA
25855005,M,Midden,CDA
25865273,M,(Gematigd) links,CDA
25861575,M,(Gematigd) rechts,Forum voor Democratie
25856420,M,Midden,Weet ik (nog) niet
25844263,F,(Gematigd) links,GroenLinks
25842183,M,(Gematigd) links,GroenLinks
25839007,F,(Gematigd) links,ChristenUnie
25839412,M,(Gematigd) rechts,50 Plus
25862154,M,(Gematigd) links,Weet ik (nog) niet
25862059,M,(Gematigd) links,Weet ik (nog) niet
25837076,M,(Gematigd) links,PvdA
25867387,M,Midden,CDA
25839417,M,(Gematigd) links,PvdA
25861394,F,Midden,D66
25835681,M,(Gematigd) rechts,VVD
25859880,F,(Gematigd) links,Partij voor de Dieren
25831757,F,(Gematigd) links,Weet ik (nog) niet
25860525,M,(Gematigd) links,SP
25832600,F,(Gematigd) rechts,Weet ik (nog) niet
25838983,M,(Gematigd) links,PvdA
25862621,M,(Gematigd) rechts,VVD
25833570,M,Midden,Weet ik (nog) niet
25858034,M,(Gematigd) rechts,VVD
25851682,M,Midden,PvdA
25862632,M,Midden,ChristenUnie
25854326,M,Midden,ChristenUnie
25843267,M,(Gematigd) links,ChristenUnie
25842986,M,Midden,PVV
25844143,M,Extreemlinks,GroenLinks
25860082,M,(Gematigd) links,Weet ik (nog) niet
25868832,F,(Gematigd) links,PvdA
25833722,M,Midden,VVD
25851020,M,Midden,50 Plus
25849096,M,Midden,"Andere partij, namelijk:"
25837259,M,(Gematigd) links,D66
25829119,F,(Gematigd) links,D66
25834941,F,(Gematigd) links,PvdA
25848812,F,(Gematigd) links,Weet ik (nog) niet
25847965,M,(Gematigd) links,GroenLinks
25850353,M,Midden,CDA
25831091,F,Midden,50 Plus
25833175,M,Midden,Weet ik (nog) niet
25864571,M,(Gematigd) links,PvdA
25841956,M,(Gematigd) links,PvdA
25854047,M,(Gematigd) links,GroenLinks
25847054,F,Midden,Weet ik (nog) niet
25830443,F,(Gematigd) links,PvdA
25868295,M,Midden,Weet ik (nog) niet
25865017,M,(Gematigd) links,GroenLinks
25832314,M,Midden,Weet ik (nog) niet
25842125,M,(Gematigd) links,Partij voor de Dieren
25860539,F,(Gematigd) links,PvdA
25833841,F,(Gematigd) links,Weet ik (nog) niet
25867506,M,Extreemlinks,"Andere partij, namelijk:"
25835796,F,(Gematigd) rechts,Weet ik (nog) niet
25836320,M,Midden,CDA
25836245,F,(Gematigd) links,Partij voor de Dieren
25861711,F,Midden,Weet ik (nog) niet
25831184,M,(Gematigd) links,GroenLinks
25850674,M,Midden,ChristenUnie
25856322,M,(Gematigd) links,Partij voor de Dieren
25829668,M,(Gematigd) links,GroenLinks
25862848,M,(Gematigd) rechts,Forum voor Democratie
25841013,M,Midden,SP
25841996,M,Midden,Wil ik niet zeggen
25837791,M,Midden,50 Plus
25868357,F,(Gematigd) links,Wil ik niet zeggen
25849640,M,Extreemlinks,SP
25862728,M,(Gematigd) links,PvdA
25838504,M,Extreemlinks,GroenLinks
25852506,F,Midden,CDA
25846820,F,(Gematigd) links,Weet ik (nog) niet
25839572,M,(Gematigd) links,ChristenUnie
25865629,M,Midden,50 Plus
25835933,F,Midden,CDA
25832697,M,(Gematigd) rechts,Forum voor Democratie
25847197,F,Midden,Weet ik (nog) niet
25850931,M,(Gematigd) links,PvdA
25834712,F,(Gematigd) links,Weet ik (nog) niet
25868062,M,(Gematigd) rechts,Forum voor Democratie
25841331,F,(Gematigd) links,PvdA
25843073,F,(Gematigd) rechts,VVD
25864322,M,(Gematigd) links,PvdA
25864014,M,(Gematigd) links,GroenLinks
25849177,F,(Gematigd) links,Wil ik niet zeggen
25846113,F,(Gematigd) links,PvdA
25849846,F,(Gematigd) links,50 Plus
25839676,F,(Gematigd) rechts,Weet ik (nog) niet
25862953,M,(Gematigd) links,Weet ik (nog) niet
25836439,M,Midden,D66
25835456,M,(Gematigd) links,SP
25861233,M,Midden,D66
25854290,M,(Gematigd) rechts,VVD
25863858,M,(Gematigd) rechts,VVD
25841720,M,(Gematigd) rechts,VVD
25830269,F,(Gematigd) rechts,Forum voor Democratie
25835158,M,(Gematigd) rechts,Forum voor Democratie
25829356,M,(Gematigd) links,PvdA
25836907,M,(Gematigd) links,PvdA
25846537,M,(Gematigd) links,D66
25861396,F,(Gematigd) links,Wil ik niet zeggen
25842677,M,(Gematigd) links,PvdA
25837498,F,Midden,PvdA
25839291,F,Midden,50 Plus
25843906,M,(Gematigd) links,PvdA
25843695,M,Midden,D66
